humidity,precipMM,pressure,tempC,visibility,year,month,day,hour,custom_season
50.0,0.0,1013,13.0,10,2009,1,1,0,Winter
47.0,0.0,1013,14.0,10,2009,1,1,1,Winter
44.0,0.0,1013,14.0,10,2009,1,1,2,Winter
41.0,0.0,1013,15.0,10,2009,1,1,3,Winter
38.0,0.0,1014,16.0,10,2009,1,1,4,Winter
35.0,0.0,1014,17.0,10,2009,1,1,5,Winter
33.0,0.0,1015,19.0,10,2009,1,1,6,Winter
29.0,0.0,1014,22.0,10,2009,1,1,7,Winter
25.0,0.0,1014,25.0,10,2009,1,1,8,Winter
22.0,0.0,1014,28.0,10,2009,1,1,9,Winter
21.0,0.0,1013,29.0,10,2009,1,1,10,Winter
20.0,0.0,1012,30.0,10,2009,1,1,11,Winter
18.0,0.0,1011,31.0,10,2009,1,1,12,Winter
23.0,0.0,1011,29.0,10,2009,1,1,13,Winter
27.0,0.0,1011,26.0,10,2009,1,1,14,Winter
32.0,0.0,1011,24.0,10,2009,1,1,15,Winter
38.0,0.0,1012,22.0,10,2009,1,1,16,Winter
44.0,0.0,1012,19.0,10,2009,1,1,17,Winter
50.0,0.0,1013,17.0,10,2009,1,1,18,Winter
51.0,0.0,1013,17.0,10,2009,1,1,19,Winter
52.0,0.0,1013,16.0,10,2009,1,1,20,Winter
53.0,0.0,1014,16.0,10,2009,1,1,21,Winter
50.0,0.0,1013,16.0,10,2009,1,1,22,Winter
48.0,0.0,1013,17.0,10,2009,1,1,23,Winter
45.0,0.0,1013,17.0,10,2009,1,2,0,Winter
48.0,0.0,1013,16.0,10,2009,1,2,1,Winter
50.0,0.0,1013,16.0,10,2009,1,2,2,Winter
53.0,0.0,1013,15.0,10,2009,1,2,3,Winter
49.0,0.0,1014,16.0,10,2009,1,2,4,Winter
45.0,0.0,1014,18.0,10,2009,1,2,5,Winter
41.0,0.0,1015,19.0,10,2009,1,2,6,Winter
37.0,0.0,1015,22.0,10,2009,1,2,7,Winter
33.0,0.0,1015,25.0,10,2009,1,2,8,Winter
29.0,0.0,1015,28.0,10,2009,1,2,9,Winter
28.0,0.0,1014,28.0,10,2009,1,2,10,Winter
27.0,0.0,1013,29.0,10,2009,1,2,11,Winter
26.0,0.0,1012,30.0,10,2009,1,2,12,Winter
29.0,0.0,1012,29.0,10,2009,1,2,13,Winter
32.0,0.0,1012,27.0,10,2009,1,2,14,Winter
35.0,0.0,1012,26.0,10,2009,1,2,15,Winter
43.0,0.0,1012,23.0,10,2009,1,2,16,Winter
52.0,0.0,1013,20.0,10,2009,1,2,17,Winter
60.0,0.0,1014,18.0,10,2009,1,2,18,Winter
62.0,0.0,1014,17.0,10,2009,1,2,19,Winter
64.0,0.0,1015,16.0,10,2009,1,2,20,Winter
67.0,0.0,1015,16.0,10,2009,1,2,21,Winter
64.0,0.0,1015,16.0,10,2009,1,2,22,Winter
61.0,0.0,1014,16.0,10,2009,1,2,23,Winter
58.0,0.0,1014,17.0,10,2009,1,3,0,Winter
59.0,0.0,1014,16.0,10,2009,1,3,1,Winter
60.0,0.0,1015,15.0,10,2009,1,3,2,Winter
61.0,0.0,1015,15.0,10,2009,1,3,3,Winter
56.0,0.0,1016,16.0,10,2009,1,3,4,Winter
51.0,0.0,1016,18.0,10,2009,1,3,5,Winter
46.0,0.0,1017,19.0,10,2009,1,3,6,Winter
40.0,0.0,1017,22.0,10,2009,1,3,7,Winter
34.0,0.0,1016,25.0,10,2009,1,3,8,Winter
28.0,0.0,1016,28.0,10,2009,1,3,9,Winter
26.0,0.0,1015,29.0,10,2009,1,3,10,Winter
25.0,0.0,1014,29.0,10,2009,1,3,11,Winter
23.0,0.0,1014,30.0,10,2009,1,3,12,Winter
28.0,0.0,1013,28.0,10,2009,1,3,13,Winter
33.0,0.0,1013,26.0,10,2009,1,3,14,Winter
38.0,0.0,1013,25.0,10,2009,1,3,15,Winter
45.0,0.0,1014,22.0,10,2009,1,3,16,Winter
53.0,0.0,1014,20.0,10,2009,1,3,17,Winter
60.0,0.0,1015,18.0,10,2009,1,3,18,Winter
63.0,0.0,1015,17.0,10,2009,1,3,19,Winter
67.0,0.0,1015,17.0,10,2009,1,3,20,Winter
70.0,0.0,1015,16.0,10,2009,1,3,21,Winter
71.0,0.0,1015,16.0,10,2009,1,3,22,Winter
72.0,0.0,1015,15.0,10,2009,1,3,23,Winter
73.0,0.0,1014,15.0,10,2009,1,4,0,Winter
74.0,0.0,1014,15.0,10,2009,1,4,1,Winter
75.0,0.0,1015,14.0,10,2009,1,4,2,Winter
75.0,0.0,1015,14.0,10,2009,1,4,3,Winter
67.0,0.0,1015,16.0,10,2009,1,4,4,Winter
59.0,0.0,1016,18.0,10,2009,1,4,5,Winter
50.0,0.0,1016,21.0,10,2009,1,4,6,Winter
43.0,0.0,1016,23.0,10,2009,1,4,7,Winter
37.0,0.0,1016,26.0,10,2009,1,4,8,Winter
30.0,0.0,1015,29.0,10,2009,1,4,9,Winter
28.0,0.0,1014,29.0,10,2009,1,4,10,Winter
26.0,0.0,1013,30.0,10,2009,1,4,11,Winter
24.0,0.0,1012,31.0,10,2009,1,4,12,Winter
28.0,0.0,1012,29.0,10,2009,1,4,13,Winter
33.0,0.0,1012,27.0,10,2009,1,4,14,Winter
37.0,0.0,1011,25.0,10,2009,1,4,15,Winter
44.0,0.0,1012,23.0,10,2009,1,4,16,Winter
51.0,0.0,1012,21.0,10,2009,1,4,17,Winter
58.0,0.0,1013,19.0,10,2009,1,4,18,Winter
61.0,0.0,1013,18.0,10,2009,1,4,19,Winter
65.0,0.0,1013,17.0,10,2009,1,4,20,Winter
68.0,0.0,1013,17.0,10,2009,1,4,21,Winter
69.0,0.0,1013,16.0,10,2009,1,4,22,Winter
70.0,0.0,1012,16.0,10,2009,1,4,23,Winter
71.0,0.0,1012,16.0,10,2009,1,5,0,Winter
70.0,0.0,1012,15.0,10,2009,1,5,1,Winter
68.0,0.0,1012,15.0,10,2009,1,5,2,Winter
67.0,0.0,1012,15.0,10,2009,1,5,3,Winter
60.0,0.0,1012,16.0,10,2009,1,5,4,Winter
54.0,0.0,1013,18.0,10,2009,1,5,5,Winter
47.0,0.0,1013,20.0,10,2009,1,5,6,Winter
41.0,0.0,1013,23.0,10,2009,1,5,7,Winter
35.0,0.0,1013,26.0,10,2009,1,5,8,Winter
29.0,0.0,1013,29.0,10,2009,1,5,9,Winter
28.0,0.0,1012,29.0,10,2009,1,5,10,Winter
28.0,0.0,1011,29.0,10,2009,1,5,11,Winter
27.0,0.0,1011,30.0,10,2009,1,5,12,Winter
30.0,0.0,1010,29.0,10,2009,1,5,13,Winter
34.0,0.0,1010,27.0,10,2009,1,5,14,Winter
38.0,0.0,1010,26.0,10,2009,1,5,15,Winter
44.0,0.0,1010,24.0,10,2009,1,5,16,Winter
50.0,0.0,1011,23.0,10,2009,1,5,17,Winter
56.0,0.0,1012,21.0,10,2009,1,5,18,Winter
62.0,0.0,1012,20.0,10,2009,1,5,19,Winter
67.0,0.0,1012,19.0,10,2009,1,5,20,Winter
73.0,0.0,1012,18.0,10,2009,1,5,21,Winter
74.0,0.0,1012,17.0,10,2009,1,5,22,Winter
76.0,0.0,1012,17.0,10,2009,1,5,23,Winter
77.0,0.0,1011,16.0,10,2009,1,6,0,Winter
76.0,0.0,1011,16.0,10,2009,1,6,1,Winter
74.0,0.0,1012,15.0,10,2009,1,6,2,Winter
73.0,0.0,1012,15.0,10,2009,1,6,3,Winter
65.0,0.0,1012,17.0,10,2009,1,6,4,Winter
57.0,0.0,1012,18.0,10,2009,1,6,5,Winter
49.0,0.0,1013,19.0,10,2009,1,6,6,Winter
41.0,0.0,1013,22.0,10,2009,1,6,7,Winter
33.0,0.0,1013,25.0,10,2009,1,6,8,Winter
25.0,0.0,1013,28.0,10,2009,1,6,9,Winter
24.0,0.0,1012,29.0,10,2009,1,6,10,Winter
23.0,0.0,1011,29.0,10,2009,1,6,11,Winter
22.0,0.0,1010,29.0,10,2009,1,6,12,Winter
24.0,0.0,1010,28.0,10,2009,1,6,13,Winter
27.0,0.0,1010,27.0,10,2009,1,6,14,Winter
29.0,0.0,1010,25.0,10,2009,1,6,15,Winter
36.0,0.0,1011,23.0,10,2009,1,6,16,Winter
43.0,0.0,1011,21.0,10,2009,1,6,17,Winter
50.0,0.0,1012,19.0,10,2009,1,6,18,Winter
51.0,0.0,1013,18.0,10,2009,1,6,19,Winter
52.0,0.0,1013,17.0,10,2009,1,6,20,Winter
54.0,0.0,1013,16.0,10,2009,1,6,21,Winter
53.0,0.0,1013,16.0,10,2009,1,6,22,Winter
53.0,0.0,1013,15.0,10,2009,1,6,23,Winter
52.0,0.0,1013,15.0,10,2009,1,7,0,Winter
52.0,0.0,1013,15.0,10,2009,1,7,1,Winter
51.0,0.0,1013,14.0,10,2009,1,7,2,Winter
51.0,0.0,1013,14.0,10,2009,1,7,3,Winter
47.0,0.0,1013,16.0,10,2009,1,7,4,Winter
43.0,0.0,1014,17.0,10,2009,1,7,5,Winter
39.0,0.0,1014,18.0,10,2009,1,7,6,Winter
35.0,0.0,1014,21.0,10,2009,1,7,7,Winter
32.0,0.0,1014,25.0,10,2009,1,7,8,Winter
29.0,0.0,1013,28.0,10,2009,1,7,9,Winter
28.0,0.0,1013,28.0,10,2009,1,7,10,Winter
28.0,0.0,1012,29.0,10,2009,1,7,11,Winter
27.0,0.0,1011,29.0,10,2009,1,7,12,Winter
32.0,0.0,1011,27.0,10,2009,1,7,13,Winter
37.0,0.0,1011,25.0,10,2009,1,7,14,Winter
41.0,0.0,1011,23.0,10,2009,1,7,15,Winter
42.0,0.0,1011,23.0,10,2009,1,7,16,Winter
43.0,0.0,1012,22.0,10,2009,1,7,17,Winter
43.0,0.0,1013,22.0,10,2009,1,7,18,Winter
45.0,0.0,1013,21.0,10,2009,1,7,19,Winter
46.0,0.0,1014,21.0,10,2009,1,7,20,Winter
47.0,0.0,1014,20.0,10,2009,1,7,21,Winter
46.0,0.0,1014,20.0,10,2009,1,7,22,Winter
46.0,0.0,1013,20.0,10,2009,1,7,23,Winter
45.0,0.0,1013,20.0,10,2009,1,8,0,Winter
45.0,0.0,1014,20.0,10,2009,1,8,1,Winter
45.0,0.0,1014,20.0,10,2009,1,8,2,Winter
45.0,0.0,1014,20.0,10,2009,1,8,3,Winter
44.0,0.0,1015,21.0,10,2009,1,8,4,Winter
43.0,0.0,1015,21.0,10,2009,1,8,5,Winter
42.0,0.0,1016,22.0,10,2009,1,8,6,Winter
39.0,0.0,1016,24.0,10,2009,1,8,7,Winter
36.0,0.0,1016,26.0,10,2009,1,8,8,Winter
33.0,0.0,1016,28.0,10,2009,1,8,9,Winter
32.0,0.0,1015,28.0,10,2009,1,8,10,Winter
30.0,0.0,1014,28.0,10,2009,1,8,11,Winter
29.0,0.0,1013,28.0,10,2009,1,8,12,Winter
33.0,0.0,1013,27.0,10,2009,1,8,13,Winter
38.0,0.0,1013,26.0,10,2009,1,8,14,Winter
42.0,0.0,1013,25.0,10,2009,1,8,15,Winter
46.0,0.0,1014,24.0,10,2009,1,8,16,Winter
